review_id,hotel_id,user_id,review_text,overall_rating,review_date,reviewer_type,sentiment_score,cleanliness_rating,service_rating,location_rating,value_rating,language,positive_keywords,negative_keywords,cultural_mentions,review_length_category
73,60,56,Romantic getaway with excellent free wifi. Perfect for couples. Rajasthani hospitality at its best,3.7,2023-06-30,Couple,0.35,4.1,4.0,3.5,3.7,en,"[""excellent"", ""perfect""]",[],"[""Rajasthani hospitality at its best""]",Short
74,160,56,Disappointing stay with substandard pool. Will not recommend. No authentic filter coffee available They didn't even have proper chettinad.,2.4,2023-11-04,Leisure,-0.3,2.3,2.0,2.2,2.7,en,[],"[""disappointing"", ""substandard""]","[""No authentic filter coffee available""]",Short
75,299,57,Relaxing stay with beautiful spa. Peaceful atmosphere. Authentic Maharashtrian thali available The marathi was particularly excellent.,5.0,2023-06-21,Leisure,1.0,5.0,5.0,5.0,5.0,en,"[""excellent""]",[],"[""Authentic Maharashtrian thali available""]",Short
76,176,58,Enjoyable stay with wonderful 24 7 front desk. Exceeded expectations. Rajasthani hospitality at its best The butter chicken was particularly excellent.,5.0,2023-04-25,Leisure,1.0,4.7,4.6,5.0,5.0,en,"[""excellent"", ""wonderful""]",[],"[""Rajasthani hospitality at its best""]",Medium
77,146,59,Intimate setting with amazing air conditioning. Highly recommend for couples. Beautiful temple architecture influence,4.1,2023-08-18,Couple,0.55,4.6,4.0,4.4,3.9,en,"[""amazing""]",[],"[""Beautiful temple architecture influence""]",Short
78,100,61,Relaxing stay with beautiful free wifi. Peaceful atmosphere. Fish curry was authentic Bengali style,5.0,2023-07-18,Leisure,1.0,5.0,5.0,4.8,5.0,en,[],[],"[""Fish curry was authentic Bengali style""]",Short
79,271,62,Excellent business facilities and gym. Professional service throughout. Authentic Maharashtrian thali available The marathi was particularly excellent.,5.0,2023-08-12,Business,1.0,4.9,5.0,5.0,5.0,en,"[""excellent""]",[],"[""Authentic Maharashtrian thali available""]",Short
80,229,62,Productive stay with reliable room service. Staff understood business needs. Traditional North Indian welcome with garland The butter chicken was particularly excellent.,5.0,2023-03-19,Business,1.0,5.0,4.9,5.0,4.5,en,"[""excellent""]",[],"[""Traditional North Indian welcome with garland""]",Medium
81,258,63,Enjoyable stay with wonderful room service. Exceeded expectations. Beautiful temple architecture influence,3.7,2023-09-26,Leisure,0.35,3.9,4.0,3.8,3.1,en,"[""wonderful""]",[],"[""Beautiful temple architecture influence""]",Short
82,211,64,Excellent business facilities and gym. Professional service throughout. Efficient service like Mumbai The vada pav was particularly excellent.,5.0,2023-04-18,Business,1.0,4.8,5.0,5.0,4.7,en,"[""excellent""]",[],"[""Efficient service like Mumbai""]",Short
83,246,64,Perfect for business travel with great gym. Location is convenient. Business-friendly atmosphere The marathi was particularly excellent.,5.0,2023-10-22,Business,1.0,5.0,4.7,4.9,5.0,en,"[""excellent"", ""great"", ""perfect""]",[],"[""Business-friendly atmosphere""]",Short
84,176,65,Intimate setting with amazing air conditioning. Highly recommend for couples. Rajasthani hospitality at its best,5.0,2023-04-16,Couple,1.0,4.9,5.0,5.0,5.0,en,"[""amazing""]",[],"[""Rajasthani hospitality at its best""]",Short
85,111,66,Family-friendly staff and excellent pool. Will return with family. Great for business travelers The mumbai style was particularly excellent.,4.3,2023-03-22,Family,0.65,3.8,4.4,4.3,4.2,en,"[""excellent"", ""great""]",[],"[""Great for business travelers""]",Short
86,248,67,Enjoyable stay with wonderful room service. Exceeded expectations. Authentic Punjabi cuisine,3.6,2023-11-17,Leisure,0.3,3.4,3.7,3.3,3.4,en,"[""wonderful""]",[],"[""Authentic Punjabi cuisine""]",Short
87,269,67,Perfect vacation spot with amazing air conditioning. Great value for money. Great South Indian breakfast with fresh filter coffee The idli was particularly excellent.,4.5,2023-05-06,Leisure,0.75,4.6,4.1,4.3,4.8,en,"[""excellent"", ""great"", ""perfect"", ""amazing""]",[],"[""Great South Indian breakfast with fresh filter coffee""]",Medium
88,266,69,Romantic getaway with excellent gym. Perfect for couples. Rajasthani hospitality at its best The butter chicken was particularly excellent.,5.0,2023-05-28,Couple,1.0,4.5,5.0,5.0,5.0,en,"[""excellent"", ""perfect""]",[],"[""Rajasthani hospitality at its best""]",Short
89,91,69,Beautiful ambiance and wonderful spa. Great couple experience. Beautiful temple architecture influence The dosa was particularly excellent.,5.0,2023-05-07,Couple,1.0,5.0,4.6,4.9,4.8,en,"[""excellent"", ""great"", ""wonderful""]",[],"[""Beautiful temple architecture influence""]",Short
90,115,69,Enjoyable stay with wonderful spa. Exceeded expectations. Authentic Maharashtrian thali available The gujarati was particularly excellent.,5.0,2023-04-01,Leisure,1.0,4.5,5.0,4.8,4.4,en,"[""excellent"", ""wonderful""]",[],"[""Authentic Maharashtrian thali available""]",Short
91,266,69,Relaxing stay with beautiful room service. Peaceful atmosphere. Rajasthani hospitality at its best,5.0,2023-12-05,Leisure,1.0,5.0,5.0,4.8,5.0,en,[],[],"[""Rajasthani hospitality at its best""]",Short
92,349,70,Wonderful family experience with room service. Kids loved the facilities. Business-friendly atmosphere The gujarati was particularly excellent.,4.3,2023-09-05,Family,0.65,4.5,4.7,4.2,4.6,en,"[""excellent"", ""wonderful""]",[],"[""Business-friendly atmosphere""]",Short
93,103,71,Wonderful family experience with 24 7 front desk. Kids loved the facilities. Traditional South Indian welcome The dosa was particularly excellent.,5.0,2023-03-22,Family,1.0,4.9,5.0,5.0,5.0,en,"[""excellent"", ""wonderful""]",[],"[""Traditional South Indian welcome""]",Medium
94,16,72,Beautiful ambiance and wonderful 24 7 front desk. Great couple experience. Traditional Durga Puja decorations The rosogolla was particularly excellent.,5.0,2023-03-05,Couple,1.0,5.0,4.9,5.0,5.0,en,"[""excellent"", ""great"", ""wonderful""]",[],"[""Traditional Durga Puja decorations""]",Medium
95,400,74,Family-friendly staff and excellent 24 7 front desk. Will return with family. Traditional South Indian welcome The chettinad was particularly excellent.,5.0,2023-03-15,Family,1.0,4.9,5.0,5.0,5.0,en,"[""excellent""]",[],"[""Traditional South Indian welcome""]",Medium
96,70,75,Enjoyable stay with wonderful air conditioning. Exceeded expectations. Traditional North Indian welcome with garland The naan was particularly excellent.,5.0,2023-06-22,Leisure,1.0,5.0,5.0,5.0,4.3,en,"[""excellent"", ""wonderful""]",[],"[""Traditional North Indian welcome with garland""]",Short
97,313,75,Intimate setting with amazing free wifi. Highly recommend for couples. Great for business travelers The marathi was particularly excellent.,5.0,2023-06-14,Couple,1.0,4.6,4.8,5.0,4.7,en,"[""excellent"", ""great"", ""amazing""]",[],"[""Great for business travelers""]",Short
98,98,75,Relaxing stay with beautiful spa. Peaceful atmosphere. Staff spoke fluent Hindi,5.0,2023-07-28,Leisure,1.0,5.0,5.0,5.0,5.0,en,[],[],"[""Staff spoke fluent Hindi""]",Short
99,236,75,Intimate setting with amazing gym. Highly recommend for couples. Authentic Maharashtrian thali available,5.0,2023-10-15,Couple,1.0,5.0,5.0,5.0,5.0,en,"[""amazing""]",[],"[""Authentic Maharashtrian thali available""]",Short
100,313,76,Beautiful ambiance and wonderful spa. Great couple experience. Great for business travelers The mumbai style was particularly excellent.,5.0,2023-02-23,Couple,1.0,5.0,4.6,4.9,4.6,en,"[""excellent"", ""great"", ""wonderful""]",[],"[""Great for business travelers""]",Short
101,107,76,Intimate setting with amazing free wifi. Highly recommend for couples. Business-friendly atmosphere The dhokla was particularly excellent.,5.0,2023-03-13,Couple,1.0,5.0,5.0,4.7,5.0,en,"[""excellent"", ""amazing""]",[],"[""Business-friendly atmosphere""]",Short
102,203,76,Beautiful ambiance and wonderful room service. Great couple experience. Great for business travelers,5.0,2023-03-26,Couple,1.0,4.5,4.6,5.0,4.7,en,"[""great"", ""wonderful""]",[],"[""Great for business travelers""]",Short
103,313,77,Relaxing stay with beautiful spa. Peaceful atmosphere. Authentic Maharashtrian thali available,5.0,2023-03-11,Leisure,1.0,4.7,4.8,4.9,5.0,en,[],[],"[""Authentic Maharashtrian thali available""]",Short
104,107,77,Intimate setting with amazing 24 7 front desk. Highly recommend for couples. Efficient service like Mumbai The vada pav was particularly excellent.,5.0,2023-06-09,Couple,1.0,4.9,4.5,4.7,5.0,en,"[""excellent"", ""amazing""]",[],"[""Efficient service like Mumbai""]",Medium
105,171,78,Enjoyable stay with wonderful parking. Exceeded expectations. Excellent Gujarati/Marathi food options,3.7,2023-08-07,Leisure,0.35,3.5,3.2,4.0,4.0,en,"[""excellent"", ""wonderful""]",[],"[""Excellent Gujarati/Marathi food options""]",Short
106,147,79,Disappointing stay with substandard parking. Will not recommend. No regional cuisine options available,3.3,2023-10-15,Leisure,0.15,3.2,3.2,3.2,3.0,en,[],"[""disappointing"", ""substandard""]","[""No regional cuisine options available""]",Short
107,209,79,Terrible vacation experience - free wifi was awful. No relaxation possible. Not suitable for vegetarian guests They didn't even have proper naan.,3.0,2023-10-16,Leisure,0.0,3.0,2.9,3.0,2.3,en,[],"[""terrible"", ""awful""]","[""Not suitable for vegetarian guests""]",Medium
108,311,80,Great for families - 24 7 front desk was perfect. Safe and comfortable environment. Traditional South Indian welcome,5.0,2023-07-01,Family,1.0,4.7,5.0,5.0,4.7,en,"[""great"", ""perfect""]",[],"[""Traditional South Indian welcome""]",Short
