user_id,age_group,gender,home_city,income_bracket_inr,family_type,budget_min_inr,budget_max_inr,vegetarian_preference,home_state,travel_frequency,business_travel_frequency,preferred_amenities,location_preference,booking_advance_days
26,25-35,Female,Chennai,15L+,Solo,5868,9364,False,Tamil Nadu,Regular,0.94,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,18
27,25-35,Female,Mumbai,4-8L,Solo,1917,3289,True,Maharashtra,Frequent,0.71,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,22
28,25-35,Male,Bangalore,8-15L,Couple,4594,9955,False,Karnataka,Frequent,0.82,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,26
29,45-55,Male,Delhi,8-15L,Solo,4276,8104,True,Delhi,Occasional,0.08,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,18
30,25-35,Female,Bangalore,8-15L,Solo,2950,9492,True,Karnataka,Occasional,0.33,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,12
31,45-55,Male,Mumbai,4-8L,Couple,2183,4119,True,Maharashtra,Frequent,0.27,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,13
32,25-35,Male,Bangalore,8-15L,Solo,3410,8101,True,Karnataka,Regular,0.18,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,29
33,25-35,Female,Bangalore,8-15L,Couple,3755,9823,True,Karnataka,Occasional,0.53,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,19
34,45-55,Female,Delhi,4-8L,Solo,2077,5259,True,Delhi,Regular,0.9,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,11
35,35-45,Female,Mumbai,8-15L,Solo,4095,6480,False,Maharashtra,Regular,0.48,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,9
36,25-35,Male,Bangalore,4-8L,Family_with_kids,1519,5812,True,Karnataka,Occasional,0.14,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,24
37,25-35,Female,Mumbai,15L+,Family_with_kids,5095,8866,True,Maharashtra,Occasional,0.68,"[""pool_available"", ""family_rooms"", ""parking_available""]",Transport_hub,23
38,35-45,Female,Chennai,8-15L,Couple,4375,6499,False,Tamil Nadu,Occasional,0.8,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,10
39,25-35,Male,Kolkata,15L+,Couple,5129,15008,False,West Bengal,Occasional,0.64,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,10
40,25-35,Male,Chennai,15L+,Family_with_kids,5665,13123,True,Tamil Nadu,Regular,0.08,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,3
41,35-45,Male,Mumbai,4-8L,Family_with_kids,1838,5356,True,Maharashtra,Regular,0.74,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,30
42,25-35,Female,Mumbai,8-15L,Solo,4518,5087,True,Maharashtra,Occasional,0.48,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,22
43,35-45,Female,Bangalore,8-15L,Solo,4680,6021,True,Karnataka,Regular,0.62,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,1
44,25-35,Female,Delhi,8-15L,Couple,4240,9377,True,Delhi,Frequent,0.99,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,30
45,35-45,Male,Bangalore,4-8L,Couple,2581,5801,False,Karnataka,Occasional,0.96,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,30
46,25-35,Male,Kolkata,4-8L,Family_with_kids,2572,3921,True,West Bengal,Regular,0.37,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,17
47,35-45,Female,Bangalore,8-15L,Couple,3947,5417,False,Karnataka,Occasional,0.38,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,4
48,35-45,Male,Delhi,4-8L,Couple,2192,5781,True,Delhi,Occasional,0.29,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,10
49,45-55,Male,Kolkata,15L+,Couple,5084,11490,False,West Bengal,Occasional,0.22,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,30
50,45-55,Male,Delhi,15L+,Family_with_kids,7822,18534,False,Delhi,Frequent,0.89,"[""pool_available"", ""family_rooms"", ""parking_available""]",Transport_hub,2
51,25-35,Female,Delhi,15L+,Solo,5457,8096,False,Delhi,Occasional,0.3,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,1
52,35-45,Female,Kolkata,8-15L,Couple,3932,6525,False,West Bengal,Occasional,0.01,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,16
53,35-45,Male,Kolkata,4-8L,Couple,1904,3347,False,West Bengal,Frequent,0.12,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,1
54,35-45,Male,Bangalore,8-15L,Couple,3137,7049,False,Karnataka,Occasional,0.4,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,12
55,45-55,Female,Chennai,15L+,Family_with_kids,5754,10984,True,Tamil Nadu,Regular,0.99,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,27
56,35-45,Male,Chennai,8-15L,Couple,4299,6325,False,Tamil Nadu,Regular,0.75,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,12
57,45-55,Male,Delhi,4-8L,Solo,2952,3812,True,Delhi,Regular,0.28,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,13
58,25-35,Male,Delhi,8-15L,Solo,4224,7713,True,Delhi,Regular,0.67,"[""wifi_available"", ""business_center"", ""gym_available""]",Transport_hub,22
59,25-35,Female,Mumbai,8-15L,Couple,3588,5973,False,Maharashtra,Occasional,0.55,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,23
60,35-45,Female,Chennai,4-8L,Couple,1760,4330,False,Tamil Nadu,Occasional,0.13,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,26
61,25-35,Male,Bangalore,8-15L,Couple,2586,6033,False,Karnataka,Regular,0.5,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,8
62,45-55,Female,Bangalore,4-8L,Family_with_kids,1606,5778,False,Karnataka,Occasional,0.98,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,1
63,25-35,Female,Mumbai,4-8L,Family_with_kids,2389,4966,False,Maharashtra,Frequent,0.49,"[""pool_available"", ""family_rooms"", ""parking_available""]",Transport_hub,8
64,35-45,Male,Delhi,4-8L,Solo,2764,3624,True,Delhi,Occasional,0.28,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,28
65,35-45,Female,Chennai,8-15L,Solo,3579,7026,True,Tamil Nadu,Frequent,0.47,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,23
66,35-45,Male,Bangalore,8-15L,Couple,4557,6484,True,Karnataka,Occasional,0.23,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,13
67,25-35,Male,Chennai,4-8L,Solo,1578,4121,True,Tamil Nadu,Occasional,0.43,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,7
68,25-35,Female,Kolkata,8-15L,Couple,2872,5417,False,West Bengal,Occasional,0.52,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,21
69,35-45,Female,Delhi,4-8L,Couple,1973,3908,False,Delhi,Occasional,0.48,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,14
70,35-45,Female,Bangalore,4-8L,Couple,2818,3211,True,Karnataka,Regular,0.27,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,12
71,35-45,Female,Kolkata,8-15L,Solo,4212,7023,True,West Bengal,Occasional,0.18,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,2
72,35-45,Female,Mumbai,8-15L,Family_with_kids,3817,6736,False,Maharashtra,Regular,0.28,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,4
73,25-35,Female,Bangalore,8-15L,Couple,4264,6514,False,Karnataka,Frequent,0.36,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,4
74,25-35,Male,Kolkata,15L+,Solo,4396,18960,True,West Bengal,Occasional,0.33,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,26
75,25-35,Female,Mumbai,4-8L,Couple,2240,5412,True,Maharashtra,Occasional,0.65,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,19
76,25-35,Male,Chennai,4-8L,Family_with_kids,2286,3357,True,Tamil Nadu,Occasional,0.63,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,4
77,25-35,Male,Bangalore,8-15L,Family_with_kids,2668,9805,True,Karnataka,Regular,0.7,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,3
78,45-55,Female,Delhi,4-8L,Family_with_kids,2619,5535,False,Delhi,Frequent,0.73,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,18
79,45-55,Male,Delhi,4-8L,Family_with_kids,2976,3629,True,Delhi,Occasional,0.19,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,23
80,45-55,Female,Kolkata,8-15L,Family_with_kids,3534,9590,False,West Bengal,Regular,0.45,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,4
81,25-35,Female,Kolkata,8-15L,Family_with_kids,4286,5554,False,West Bengal,Occasional,0.52,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,26
82,45-55,Female,Delhi,4-8L,Family_with_kids,1544,3683,True,Delhi,Occasional,0.29,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,2
83,25-35,Male,Kolkata,15L+,Couple,7253,19367,False,West Bengal,Regular,0.5,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,28
84,25-35,Male,Delhi,4-8L,Couple,2551,3307,False,Delhi,Regular,0.75,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,18
85,35-45,Female,Chennai,4-8L,Couple,2299,4641,True,Tamil Nadu,Occasional,0.18,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,19
86,35-45,Male,Delhi,15L+,Couple,4892,17701,False,Delhi,Occasional,0.5,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,17
87,25-35,Male,Chennai,8-15L,Solo,3560,7485,False,Tamil Nadu,Occasional,0.71,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,4
88,35-45,Male,Mumbai,8-15L,Couple,3200,6834,True,Maharashtra,Occasional,0.29,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,5
89,25-35,Female,Kolkata,4-8L,Couple,2068,3544,True,West Bengal,Frequent,0.64,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,27
90,45-55,Male,Kolkata,8-15L,Couple,3360,9379,True,West Bengal,Occasional,0.65,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,20
91,35-45,Male,Bangalore,8-15L,Family_with_kids,4011,7658,False,Karnataka,Occasional,0.72,"[""pool_available"", ""family_rooms"", ""parking_available""]",Transport_hub,29
92,35-45,Male,Mumbai,8-15L,Solo,3707,7659,True,Maharashtra,Occasional,0.82,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,24
93,25-35,Female,Bangalore,8-15L,Couple,3645,6447,True,Karnataka,Frequent,0.54,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,4
94,25-35,Female,Delhi,15L+,Solo,6959,19274,False,Delhi,Frequent,0.87,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,20
95,25-35,Female,Kolkata,4-8L,Family_with_kids,2628,3844,True,West Bengal,Regular,0.32,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,19
96,45-55,Female,Mumbai,8-15L,Family_with_kids,4119,6275,True,Maharashtra,Regular,0.73,"[""pool_available"", ""family_rooms"", ""parking_available""]",Transport_hub,12
97,35-45,Male,Bangalore,8-15L,Couple,3107,8924,False,Karnataka,Regular,0.18,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,27
98,45-55,Female,Mumbai,4-8L,Family_with_kids,1860,3773,True,Maharashtra,Frequent,0.65,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,10
99,35-45,Female,Bangalore,4-8L,Solo,1833,3727,True,Karnataka,Occasional,0.07,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,14
100,25-35,Female,Bangalore,4-8L,Family_with_kids,2002,4863,True,Karnataka,Frequent,0.72,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,24
101,35-45,Male,Bangalore,4-8L,Family_with_kids,1524,5471,False,Karnataka,Regular,0.38,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,27
102,25-35,Male,Kolkata,8-15L,Family_with_kids,2555,5358,True,West Bengal,Regular,0.77,"[""pool_available"", ""family_rooms"", ""parking_available""]",Transport_hub,5
103,35-45,Male,Delhi,15L+,Family_with_kids,7844,18279,True,Delhi,Occasional,0.96,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,18
104,25-35,Male,Delhi,8-15L,Family_with_kids,3886,5696,True,Delhi,Occasional,0.48,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,29
105,35-45,Female,Delhi,15L+,Family_with_kids,5819,10672,False,Delhi,Frequent,0.48,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,2
106,35-45,Female,Delhi,4-8L,Solo,2613,5834,True,Delhi,Frequent,0.02,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,4
107,45-55,Male,Kolkata,15L+,Couple,6230,12861,False,West Bengal,Regular,0.14,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,1
108,45-55,Female,Chennai,4-8L,Couple,1964,4749,True,Tamil Nadu,Occasional,0.35,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,8
109,45-55,Male,Bangalore,4-8L,Couple,2901,4575,False,Karnataka,Regular,0.17,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,8
110,25-35,Female,Mumbai,8-15L,Couple,2916,7308,True,Maharashtra,Regular,0.62,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,12
111,35-45,Male,Kolkata,8-15L,Couple,2847,5355,True,West Bengal,Frequent,0.43,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,20
112,25-35,Female,Mumbai,4-8L,Family_with_kids,1871,5782,True,Maharashtra,Regular,0.89,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,10
113,35-45,Female,Mumbai,4-8L,Solo,2779,4175,True,Maharashtra,Occasional,0.27,"[""wifi_available"", ""business_center"", ""gym_available""]",Transport_hub,22
114,35-45,Male,Delhi,8-15L,Family_with_kids,4011,7174,True,Delhi,Occasional,0.86,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,25
115,35-45,Female,Chennai,4-8L,Couple,2843,3600,True,Tamil Nadu,Frequent,0.39,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,26
116,45-55,Male,Mumbai,15L+,Couple,7217,15838,True,Maharashtra,Occasional,0.58,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,9
117,35-45,Female,Kolkata,8-15L,Solo,3092,5740,True,West Bengal,Regular,0.18,"[""wifi_available"", ""business_center"", ""gym_available""]",Transport_hub,12
118,25-35,Female,Mumbai,4-8L,Solo,2153,5024,False,Maharashtra,Occasional,0.69,"[""wifi_available"", ""business_center"", ""gym_available""]",Transport_hub,20
119,25-35,Male,Bangalore,4-8L,Solo,2803,4365,True,Karnataka,Frequent,0.38,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,16
120,35-45,Female,Bangalore,4-8L,Solo,2603,5186,True,Karnataka,Occasional,0.38,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,23
121,25-35,Male,Delhi,4-8L,Solo,2363,5158,True,Delhi,Occasional,0.24,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,7
122,35-45,Female,Mumbai,4-8L,Couple,1535,4484,True,Maharashtra,Regular,0.92,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,30
123,25-35,Male,Chennai,8-15L,Solo,3930,7956,False,Tamil Nadu,Frequent,0.46,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,30
124,45-55,Male,Mumbai,4-8L,Family_with_kids,2362,3993,True,Maharashtra,Regular,0.06,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,4
125,25-35,Male,Mumbai,4-8L,Couple,2924,5883,False,Maharashtra,Regular,0.73,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,14
126,25-35,Male,Delhi,8-15L,Solo,4022,5443,True,Delhi,Occasional,0.48,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,28
127,35-45,Male,Kolkata,8-15L,Couple,3147,5247,False,West Bengal,Occasional,0.14,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,3
128,25-35,Female,Bangalore,4-8L,Solo,1525,5331,True,Karnataka,Occasional,0.77,"[""wifi_available"", ""business_center"", ""gym_available""]",Transport_hub,24
129,25-35,Female,Delhi,4-8L,Solo,1786,5160,False,Delhi,Occasional,0.41,"[""wifi_available"", ""business_center"", ""gym_available""]",Transport_hub,15
130,45-55,Male,Bangalore,8-15L,Family_with_kids,2554,7349,True,Karnataka,Occasional,0.06,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,2
131,25-35,Male,Bangalore,8-15L,Couple,4974,6421,True,Karnataka,Occasional,0.4,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,22
132,25-35,Female,Delhi,4-8L,Couple,2430,5269,False,Delhi,Regular,0.71,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,30
133,25-35,Male,Kolkata,8-15L,Solo,3142,7226,False,West Bengal,Occasional,0.98,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,24
134,25-35,Male,Mumbai,4-8L,Solo,1933,4640,True,Maharashtra,Occasional,0.39,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,18
135,25-35,Female,Kolkata,4-8L,Couple,2739,3316,False,West Bengal,Occasional,0.31,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,13
136,45-55,Male,Mumbai,4-8L,Family_with_kids,2279,3675,False,Maharashtra,Frequent,0.65,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,9
137,45-55,Male,Delhi,4-8L,Couple,1722,3427,False,Delhi,Frequent,0.6,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,1
138,35-45,Male,Bangalore,4-8L,Family_with_kids,1990,4155,True,Karnataka,Occasional,0.07,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,1
139,25-35,Male,Delhi,8-15L,Solo,3766,6537,True,Delhi,Occasional,0.24,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,19
140,35-45,Female,Delhi,8-15L,Solo,4813,5367,True,Delhi,Occasional,0.05,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,10
141,35-45,Female,Mumbai,4-8L,Solo,1517,4460,False,Maharashtra,Occasional,0.5,"[""wifi_available"", ""business_center"", ""gym_available""]",Transport_hub,25
142,45-55,Male,Delhi,8-15L,Solo,4100,7915,True,Delhi,Regular,0.33,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,17
143,35-45,Male,Bangalore,8-15L,Couple,2913,9113,True,Karnataka,Occasional,0.59,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,16
144,45-55,Female,Chennai,15L+,Solo,6401,8612,True,Tamil Nadu,Regular,0.15,"[""wifi_available"", ""business_center"", ""gym_available""]",Transport_hub,3
145,45-55,Male,Mumbai,4-8L,Couple,2781,3382,True,Maharashtra,Regular,0.81,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,5
146,45-55,Female,Mumbai,8-15L,Solo,3159,9109,False,Maharashtra,Occasional,0.79,"[""wifi_available"", ""business_center"", ""gym_available""]",Transport_hub,10
147,25-35,Male,Chennai,8-15L,Couple,3975,8529,False,Tamil Nadu,Occasional,0.24,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,20
148,45-55,Female,Delhi,8-15L,Couple,2807,6248,True,Delhi,Occasional,0.8,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,25
149,35-45,Male,Delhi,8-15L,Couple,3767,9482,False,Delhi,Occasional,0.09,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,6
150,45-55,Male,Delhi,8-15L,Family_with_kids,3710,6322,False,Delhi,Regular,0.58,"[""pool_available"", ""family_rooms"", ""parking_available""]",Transport_hub,3
151,25-35,Female,Kolkata,8-15L,Solo,2791,6467,False,West Bengal,Occasional,0.99,"[""wifi_available"", ""business_center"", ""gym_available""]",Transport_hub,25
152,35-45,Male,Bangalore,8-15L,Family_with_kids,4310,6150,False,Karnataka,Regular,0.04,"[""pool_available"", ""family_rooms"", ""parking_available""]",Transport_hub,13
153,25-35,Male,Delhi,4-8L,Couple,2337,5538,False,Delhi,Occasional,0.37,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,11
154,35-45,Female,Chennai,15L+,Solo,5530,9367,False,Tamil Nadu,Frequent,0.26,"[""wifi_available"", ""business_center"", ""gym_available""]",Quiet_area,2
155,25-35,Male,Chennai,4-8L,Couple,2771,5637,True,Tamil Nadu,Regular,0.7,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,1
156,25-35,Female,Mumbai,8-15L,Couple,3133,5862,False,Maharashtra,Regular,0.16,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,28
157,35-45,Female,Bangalore,4-8L,Solo,1649,3913,False,Karnataka,Occasional,0.67,"[""wifi_available"", ""business_center"", ""gym_available""]",Transport_hub,15
158,45-55,Female,Bangalore,8-15L,Couple,4418,9383,True,Karnataka,Frequent,0.09,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,4
159,25-35,Male,Bangalore,8-15L,Couple,4125,8548,False,Karnataka,Occasional,0.33,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,11
160,45-55,Male,Kolkata,8-15L,Couple,4975,8983,False,West Bengal,Frequent,0.11,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,2
161,35-45,Female,Mumbai,8-15L,Couple,4732,6275,True,Maharashtra,Occasional,0.64,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,19
162,35-45,Female,Kolkata,15L+,Couple,4128,17848,True,West Bengal,Occasional,0.94,"[""spa_available"", ""restaurant"", ""room_service""]",Transport_hub,26
163,45-55,Male,Chennai,4-8L,Family_with_kids,2380,4939,True,Tamil Nadu,Frequent,0.21,"[""pool_available"", ""family_rooms"", ""parking_available""]",City_center,25
164,35-45,Female,Bangalore,4-8L,Solo,2900,4732,False,Karnataka,Occasional,0.64,"[""wifi_available"", ""business_center"", ""gym_available""]",City_center,5
165,45-55,Female,Mumbai,4-8L,Couple,1641,4121,True,Maharashtra,Regular,0.3,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,15
166,45-55,Male,Delhi,4-8L,Couple,2359,5149,False,Delhi,Occasional,0.18,"[""spa_available"", ""restaurant"", ""room_service""]",City_center,3
167,25-35,Female,Delhi,4-8L,Solo,2377,4400,True,Delhi,Occasional,0.2,"[""wifi_available"", ""business_center"", ""gym_available""]",Transport_hub,16
168,25-35,Male,Kolkata,4-8L,Couple,2473,5193,False,West Bengal,Regular,0.35,"[""spa_available"", ""restaurant"", ""room_service""]",Quiet_area,19
169,25-35,Male,Bangalore,4-8L,Family_with_kids,2296,3040,True,Karnataka,Occasional,0.72,"[""pool_available"", ""family_rooms"", ""parking_available""]",Quiet_area,20
