review_id,hotel_id,user_id,review_text,overall_rating,review_date,reviewer_type,sentiment_score,cleanliness_rating,service_rating,location_rating,value_rating,positive_keywords,negative_keywords,cultural_mentions,review_length_category,language
58,218,114,Perfect location near transport. Food experience was amazing. Highly recommend for solo,4.1,2023-07-24,Business,0.55,3.8,4.5,4.3,3.9,"[""perfect""]",[],"[""Good value for money""]",Short,en
59,249,69,Great pool and excellent service. Staff was very helpful. Staff spoke Hindi,3.8,2023-04-23,Business,0.4,3.7,4.1,3.7,3.9,"[""great"", ""excellent""]",[],"[""Staff spoke Hindi""]",Short,en
60,313,158,Comfortable rooms and great hospitality. Good value for money Perfect for couple travelers.,4.4,2023-06-18,Solo,0.7,4.7,4.6,4.3,3.7,"[""great"", ""perfect"", ""comfortable"", ""good""]",[],"[""Good value for money""]",Short,en
61,370,6,Great spa and excellent service. Staff was very friendly. Excellent Indian breakfast,4.7,2023-01-11,Business,0.85,4.6,4.3,4.9,4.7,"[""great"", ""excellent""]",[],"[""Excellent Indian breakfast""]",Short,en
62,275,93,Comfortable rooms and great hospitality. Good value for money Perfect for couple travelers.,4.8,2023-04-12,Solo,0.9,5.0,5.0,4.5,4.4,"[""great"", ""perfect"", ""comfortable"", ""good""]",[],"[""Good value for money""]",Short,en
63,263,109,Great gym and excellent service. Staff was very helpful. Understanding of Indian culture,4.5,2023-01-12,Solo,0.75,4.1,5.0,4.4,3.9,"[""great"", ""excellent""]",[],"[""Understanding of Indian culture""]",Short,en
64,13,250,Wonderful stay with excellent amenities. Good value for money Will definitely visit again.,4.2,2023-07-23,Business,0.6,4.3,4.4,4.2,3.9,"[""excellent"", ""wonderful"", ""good""]",[],"[""Good value for money""]",Short,en
65,251,204,Wonderful stay with excellent amenities. Well-maintained property Will definitely visit again.,4.8,2023-10-07,Business,0.9,5.0,4.4,5.0,4.9,"[""excellent"", ""wonderful""]",[],"[""Well-maintained property""]",Short,en
66,165,61,Wonderful stay with excellent amenities. Understanding of Indian culture Will definitely visit again.,5.0,2023-08-25,Solo,1.0,4.6,5.0,5.0,4.4,"[""excellent"", ""wonderful""]",[],"[""Understanding of Indian culture""]",Medium,en
67,267,42,Great AC and excellent service. Staff was very helpful. Understanding of Indian culture,4.4,2023-03-04,Family,0.7,4.5,4.7,4.4,4.6,"[""great"", ""excellent""]",[],"[""Understanding of Indian culture""]",Short,en
68,59,223,Comfortable rooms and great hospitality. Friendly staff Perfect for solo travelers.,3.6,2023-01-20,Family,0.3,3.1,4.1,3.6,3.0,"[""great"", ""perfect"", ""comfortable""]",[],"[""Friendly staff""]",Short,en
69,321,44,Comfortable rooms and great hospitality. Well-maintained property Perfect for family travelers.,4.2,2023-09-26,Family,0.6,3.8,4.4,4.3,3.5,"[""great"", ""perfect"", ""comfortable""]",[],"[""Well-maintained property""]",Short,en
70,70,185,Comfortable rooms and great hospitality. Friendly staff Perfect for family travelers.,4.5,2023-03-26,Solo,0.75,4.8,4.9,4.8,4.5,"[""great"", ""perfect"", ""comfortable""]",[],"[""Friendly staff""]",Short,en
71,219,211,Wonderful stay with excellent amenities. Excellent Indian breakfast Will definitely visit again.,4.4,2023-10-27,Solo,0.7,4.5,4.3,4.3,3.7,"[""excellent"", ""wonderful""]",[],"[""Excellent Indian breakfast""]",Short,en
72,53,40,Wonderful stay with excellent amenities. Understanding of Indian culture Will definitely visit again.,4.1,2023-04-21,Family,0.55,3.6,3.7,3.8,4.2,"[""excellent"", ""wonderful""]",[],"[""Understanding of Indian culture""]",Medium,en
73,53,145,Comfortable rooms and great hospitality. Clean and hygienic Perfect for solo travelers.,4.7,2023-03-06,Business,0.85,5.0,4.5,4.4,4.0,"[""great"", ""perfect"", ""comfortable""]",[],"[""Clean and hygienic""]",Short,en
74,316,189,Comfortable rooms and great hospitality. Friendly staff Perfect for couple travelers.,3.5,2023-12-09,Solo,0.25,3.3,3.7,3.5,3.2,"[""great"", ""perfect"", ""comfortable""]",[],"[""Friendly staff""]",Short,en
75,1,224,Comfortable rooms and great hospitality. Well-maintained property Perfect for solo travelers.,4.1,2023-06-15,Business,0.55,4.4,4.0,4.0,4.1,"[""great"", ""perfect"", ""comfortable""]",[],"[""Well-maintained property""]",Short,en
76,194,101,Wonderful stay with excellent amenities. Good value for money Will definitely visit again.,5.0,2023-07-17,Solo,1.0,4.7,4.8,4.8,4.5,"[""excellent"", ""wonderful"", ""good""]",[],"[""Good value for money""]",Short,en
77,268,80,Comfortable rooms and great hospitality. Comfortable for Indian families Perfect for family travelers.,5.0,2023-06-12,Solo,1.0,5.0,4.9,4.8,4.9,"[""great"", ""perfect"", ""comfortable""]",[],"[""Comfortable for Indian families""]",Medium,en
78,110,216,Wonderful stay with excellent amenities. Understanding of Indian culture Will definitely visit again.,4.2,2023-03-27,Business,0.6,4.0,3.7,4.1,4.0,"[""excellent"", ""wonderful""]",[],"[""Understanding of Indian culture""]",Medium,en
79,365,72,Perfect location near transport. Food experience was amazing. Highly recommend for family,5.0,2023-03-15,Business,1.0,5.0,5.0,5.0,4.7,"[""perfect""]",[],"[""Good value for money""]",Short,en
80,188,222,Great pool and excellent service. Staff was very courteous. Good value for money,4.5,2023-08-27,Business,0.75,4.6,4.3,4.4,4.5,"[""great"", ""excellent"", ""good""]",[],"[""Good value for money""]",Short,en
81,218,187,Wonderful stay with excellent amenities. Good value for money Will definitely visit again.,4.5,2023-04-20,Family,0.75,4.7,4.3,4.4,3.9,"[""excellent"", ""wonderful"", ""good""]",[],"[""Good value for money""]",Short,en
82,246,165,pool was not working. Service issues throughout stay. No Indian food options,2.6,2023-07-23,Family,-0.2,2.9,2.3,2.7,2.8,[],"[""not working""]","[""No Indian food options""]",Short,en
83,130,181,Comfortable rooms and great hospitality. Comfortable for Indian families Perfect for couple travelers.,3.9,2023-05-21,Solo,0.45,4.3,3.7,3.9,3.9,"[""great"", ""perfect"", ""comfortable""]",[],"[""Comfortable for Indian families""]",Medium,en
84,16,211,Perfect location near transport. Food experience was amazing. Highly recommend for couple,3.9,2023-08-30,Business,0.45,3.9,3.5,4.0,3.9,"[""perfect""]",[],"[""Understanding of Indian culture""]",Short,en
85,314,8,Wonderful stay with excellent amenities. Staff spoke Hindi Will definitely visit again.,4.5,2024-01-01,Business,0.75,5.0,5.0,4.7,4.2,"[""excellent"", ""wonderful""]",[],"[""Staff spoke Hindi""]",Short,en
86,279,220,Perfect location near transport. Food experience was amazing. Highly recommend for business,4.3,2023-05-23,Family,0.65,4.3,4.1,4.5,3.9,"[""perfect""]",[],"[""Staff spoke Hindi""]",Short,en
87,370,151,Comfortable rooms and great hospitality. Good value for money Perfect for family travelers.,4.5,2023-07-07,Family,0.75,4.9,4.1,4.3,3.8,"[""great"", ""perfect"", ""comfortable"", ""good""]",[],"[""Good value for money""]",Short,en
88,214,104,Comfortable rooms and great hospitality. Comfortable for Indian families Perfect for family travelers.,4.7,2023-12-08,Solo,0.85,4.9,4.4,4.4,4.0,"[""great"", ""perfect"", ""comfortable""]",[],"[""Comfortable for Indian families""]",Medium,en
89,259,177,Wonderful stay with excellent amenities. Staff spoke Hindi Will definitely visit again.,4.4,2023-07-29,Solo,0.7,4.6,4.4,4.6,4.6,"[""excellent"", ""wonderful""]",[],"[""Staff spoke Hindi""]",Short,en
90,46,119,Comfortable rooms and great hospitality. Excellent Indian breakfast Perfect for couple travelers.,3.8,2023-03-01,Family,0.4,3.9,4.1,4.1,3.7,"[""great"", ""excellent"", ""perfect"", ""comfortable""]",[],"[""Excellent Indian breakfast""]",Short,en
91,45,187,Great room service and excellent service. Staff was very courteous. Excellent Indian breakfast,4.5,2023-04-06,Business,0.75,4.6,4.2,4.6,4.2,"[""great"", ""excellent""]",[],"[""Excellent Indian breakfast""]",Short,en
92,329,175,Great WiFi and excellent service. Staff was very attentive. Staff spoke Hindi,4.8,2023-04-08,Family,0.9,4.3,4.5,5.0,4.3,"[""great"", ""excellent""]",[],"[""Staff spoke Hindi""]",Short,en
93,159,34,Perfect location near transport. Food experience was amazing. Highly recommend for family,4.2,2023-01-28,Business,0.6,4.0,4.0,4.1,3.7,"[""perfect""]",[],"[""Understanding of Indian culture""]",Short,en
94,231,134,Great WiFi and excellent service. Staff was very friendly. Comfortable for Indian families,3.6,2023-11-20,Solo,0.3,3.6,3.8,3.8,3.3,"[""great"", ""excellent"", ""comfortable""]",[],"[""Comfortable for Indian families""]",Short,en
95,300,10,Great pool and excellent service. Staff was very courteous. Great vegetarian options,3.8,2023-07-17,Business,0.4,3.9,3.6,4.0,4.1,"[""great"", ""excellent""]",[],"[""Great vegetarian options""]",Short,en
96,360,54,Great restaurant and excellent service. Staff was very courteous. Well-maintained property,4.7,2023-08-11,Family,0.85,4.7,4.4,4.4,4.2,"[""great"", ""excellent""]",[],"[""Well-maintained property""]",Short,en
97,148,175,Great WiFi and excellent service. Staff was very attentive. Understanding of Indian culture,4.0,2023-04-17,Family,0.5,4.4,3.7,4.2,3.9,"[""great"", ""excellent""]",[],"[""Understanding of Indian culture""]",Short,en
98,60,237,Comfortable rooms and great hospitality. Clean and hygienic Perfect for solo travelers.,4.6,2023-09-22,Business,0.8,4.9,4.8,4.8,4.7,"[""great"", ""perfect"", ""comfortable""]",[],"[""Clean and hygienic""]",Short,en
99,358,248,Perfect location near transport. Food experience was amazing. Highly recommend for family,4.2,2023-09-26,Business,0.6,3.7,3.7,4.1,4.1,"[""perfect""]",[],"[""Understanding of Indian culture""]",Short,en
100,37,137,Perfect location near transport. Food experience was amazing. Highly recommend for business,4.6,2023-06-27,Solo,0.8,4.3,4.4,4.6,4.0,"[""perfect""]",[],"[""Excellent Indian breakfast""]",Short,en
101,301,249,spa was not working. Service issues throughout stay. No Indian food options,3.4,2023-01-14,Family,0.2,3.8,2.9,3.6,2.8,[],"[""not working""]","[""No Indian food options""]",Short,en
102,394,46,Wonderful stay with excellent amenities. Good value for money Will definitely visit again.,4.2,2023-05-01,Business,0.6,4.0,4.1,3.9,4.4,"[""excellent"", ""wonderful"", ""good""]",[],"[""Good value for money""]",Short,en
103,199,80,Perfect location near transport. Food experience was amazing. Highly recommend for solo,4.9,2023-12-12,Business,0.95,4.6,4.4,4.8,5.0,"[""perfect""]",[],"[""Friendly staff""]",Short,en
104,229,5,Great pool and excellent service. Staff was very courteous. Understanding of Indian culture,3.9,2023-06-16,Business,0.45,3.5,4.4,3.9,3.9,"[""great"", ""excellent""]",[],"[""Understanding of Indian culture""]",Short,en
105,58,153,Great gym and excellent service. Staff was very professional. Well-maintained property,4.1,2023-07-02,Family,0.55,4.3,3.7,3.8,3.8,"[""great"", ""excellent""]",[],"[""Well-maintained property""]",Short,en
106,203,190,Comfortable rooms and great hospitality. Comfortable for Indian families Perfect for solo travelers.,4.4,2023-05-08,Solo,0.7,4.6,4.9,4.6,4.2,"[""great"", ""perfect"", ""comfortable""]",[],"[""Comfortable for Indian families""]",Medium,en
107,65,25,Comfortable rooms and great hospitality. Good value for money Perfect for solo travelers.,5.0,2023-03-16,Family,1.0,4.6,5.0,5.0,5.0,"[""great"", ""perfect"", ""comfortable"", ""good""]",[],"[""Good value for money""]",Short,en
108,141,229,Great AC and excellent service. Staff was very attentive. Clean and hygienic,4.3,2023-06-26,Solo,0.65,4.3,4.7,4.1,4.3,"[""great"", ""excellent""]",[],"[""Clean and hygienic""]",Short,en
109,316,78,Overpriced for the quality. Expected better for this price range. Poor hygiene standards,3.1,2023-09-21,Solo,0.05,2.8,3.2,3.3,3.0,[],"[""poor"", ""overpriced""]","[""Poor hygiene standards""]",Short,en
110,356,63,Wonderful stay with excellent amenities. Clean and hygienic Will definitely visit again.,4.6,2023-01-26,Business,0.8,4.8,5.0,4.7,4.0,"[""excellent"", ""wonderful""]",[],"[""Clean and hygienic""]",Short,en
111,93,233,Disappointing experience overall. Overpriced for Indian standards Staff was not cooperative.,2.9,2023-12-14,Business,-0.05,3.0,3.3,3.1,2.3,[],"[""disappointing"", ""overpriced""]","[""Overpriced for Indian standards""]",Short,en
112,10,58,room service was not working. Service issues throughout stay. No vegetarian restaurant,3.1,2023-12-30,Solo,0.05,3.6,2.6,3.2,3.4,[],"[""not working""]","[""No vegetarian restaurant""]",Short,en
113,276,97,Comfortable rooms and great hospitality. Great vegetarian options Perfect for solo travelers.,4.1,2023-03-09,Solo,0.55,4.5,4.5,4.1,4.1,"[""great"", ""perfect"", ""comfortable""]",[],"[""Great vegetarian options""]",Short,en
114,55,162,Perfect location near transport. Food experience was amazing. Highly recommend for couple,4.5,2023-12-07,Business,0.75,4.7,4.2,4.4,4.7,"[""perfect""]",[],"[""Understanding of Indian culture""]",Short,en
115,326,196,Comfortable rooms and great hospitality. Staff spoke Hindi Perfect for family travelers.,3.6,2023-06-12,Solo,0.3,4.0,4.0,3.7,3.1,"[""great"", ""perfect"", ""comfortable""]",[],"[""Staff spoke Hindi""]",Short,en
116,242,161,Comfortable rooms and great hospitality. Understanding of Indian culture Perfect for couple travelers.,4.2,2023-12-17,Solo,0.6,4.6,3.8,4.0,3.7,"[""great"", ""perfect"", ""comfortable""]",[],"[""Understanding of Indian culture""]",Medium,en
117,34,76,Wonderful stay with excellent amenities. Comfortable for Indian families Will definitely visit again.,4.7,2023-01-16,Business,0.85,5.0,4.9,4.4,4.5,"[""excellent"", ""wonderful"", ""comfortable""]",[],"[""Comfortable for Indian families""]",Medium,en
118,332,156,Overpriced for the quality. Expected better for this price range. Not suitable for Indian families,3.3,2023-10-01,Family,0.15,3.7,3.6,3.2,3.4,[],"[""overpriced""]","[""Not suitable for Indian families""]",Short,en
119,323,131,Wonderful stay with excellent amenities. Great vegetarian options Will definitely visit again.,4.6,2023-11-29,Solo,0.8,4.9,4.1,4.5,4.6,"[""great"", ""excellent"", ""wonderful""]",[],"[""Great vegetarian options""]",Short,en
120,356,165,Wonderful stay with excellent amenities. Staff spoke Hindi Will definitely visit again.,4.6,2023-02-07,Business,0.8,4.9,4.5,4.5,4.6,"[""excellent"", ""wonderful""]",[],"[""Staff spoke Hindi""]",Short,en
121,386,126,Comfortable rooms and great hospitality. Clean and hygienic Perfect for family travelers.,4.1,2023-05-06,Business,0.55,4.5,4.2,4.0,3.6,"[""great"", ""perfect"", ""comfortable""]",[],"[""Clean and hygienic""]",Short,en
122,353,76,Comfortable rooms and great hospitality. Well-maintained property Perfect for family travelers.,4.1,2023-08-16,Family,0.55,3.8,4.0,3.9,3.8,"[""great"", ""perfect"", ""comfortable""]",[],"[""Well-maintained property""]",Short,en
123,133,180,Poor maintenance and cleanliness. Language barrier Not recommended for family,3.3,2023-10-18,Solo,0.15,2.8,3.2,3.4,2.8,[],"[""poor""]","[""Language barrier""]",Short,en
124,72,195,Wonderful stay with excellent amenities. Staff spoke Hindi Will definitely visit again.,4.0,2023-03-17,Solo,0.5,3.7,3.7,3.9,4.1,"[""excellent"", ""wonderful""]",[],"[""Staff spoke Hindi""]",Short,en
125,327,66,Disappointing experience overall. Overpriced for Indian standards Staff was not cooperative.,3.4,2023-04-27,Solo,0.2,3.6,3.7,3.5,2.9,[],"[""disappointing"", ""overpriced""]","[""Overpriced for Indian standards""]",Short,en
126,88,231,Wonderful stay with excellent amenities. Understanding of Indian culture Will definitely visit again.,5.0,2023-06-26,Solo,1.0,4.6,5.0,5.0,4.3,"[""excellent"", ""wonderful""]",[],"[""Understanding of Indian culture""]",Medium,en
127,257,219,Wonderful stay with excellent amenities. Staff spoke Hindi Will definitely visit again.,4.4,2023-06-10,Solo,0.7,4.1,4.4,4.6,3.7,"[""excellent"", ""wonderful""]",[],"[""Staff spoke Hindi""]",Short,en
